id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
39417,SLAN,small_airport,"Angora Airport",-14.4323,-65.768799,731,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLAN,,,,https://en.wikipedia.org/wiki/Angora_Airport,,50,2024-06-07T09:48:42+00:00
39424,SLCV,small_airport,"Cavinas Airport",-12.5498,-66.912498,656,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLCV,,,,https://en.wikipedia.org/wiki/Cavinas_Airport,,50,2024-05-18T23:02:22+00:00
39437,SLEV,small_airport,"El Salvador Airport",-14.4983,-66.762901,574,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLEV,,,,https://en.wikipedia.org/wiki/El_Salvador_Airport,,50,2024-05-18T23:03:46+00:00
39443,SLIG,small_airport,"Inglaterra Airport",-13.4438,-66.505997,780,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLIG,,,,https://en.wikipedia.org/wiki/Inglaterra_Airport,,50,2024-05-18T23:04:33+00:00
39448,SLLI,small_airport,"La India Airport",-13.573833,-66.83567,540,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLLI,,,,https://en.wikipedia.org/wiki/La_India_Airport,,50,2024-05-29T06:44:22+00:00
39483,SLBT,small_airport,"Buen Retiro Ballivian Airport",-13.9,-66.550003,886,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLBT,,,,https://en.wikipedia.org/wiki/Buen_Retiro_Ballivian_Airport,,50,2024-05-21T16:38:59+00:00
39484,SLBH,small_airport,"Buena Hora Airport",-12.133333,-66.533333,656,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLBH,,,,https://en.wikipedia.org/wiki/Buena_Hora_Airport,,50,2024-06-07T18:02:52+00:00
39494,SLQN,small_airport,"Coquinal Airport",-13.183333,-67,535,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLQN,,,,https://en.wikipedia.org/wiki/Coquinal_Airport,,50,2024-06-07T09:51:57+00:00
39506,SLFA,small_airport,"Fatima Airport",-15.333333,-66.800003,1000,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLFA,,,,https://en.wikipedia.org/wiki/Fatima_Airport,,50,2024-06-07T17:00:31+00:00
39514,SLLL,small_airport,"Laguna Loa Airport",-14.283333,-66.7925,720,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLLL,,,,https://en.wikipedia.org/wiki/Laguna_Loa_Airport,,50,2024-05-29T06:45:40+00:00
39555,SLUS,small_airport,"Urusi Airport",-14.316667,-66.166664,805,SA,Bolivia,BO,"El Beni Department",BO-B,B,Ballivian,0,SLUS,,,,https://en.wikipedia.org/wiki/Urusi_Airport,,50,2024-06-07T09:55:07+00:00
41590,BO-BVL,small_airport,"Baures Airport",-13.654426,-63.704718,470,SA,Bolivia,BO,"El Beni Department",BO-B,B,Baures,0,SLBA,BVL,,,https://en.wikipedia.org/wiki/Baures_Airport,,50,2024-04-15T18:38:02+00:00
318452,BO-0010,small_airport,"Buen Jesus Airport",-13.657813,-62.801874,,SA,Bolivia,BO,"El Beni Department",BO-B,B,"Buen Jesus",0,,,,,,,50,2016-06-10T02:23:40+00:00
39487,SLCM,small_airport,"Camacho Airport",-11.505,-67.6847,690,SA,Bolivia,BO,"Pando Department",BO-N,N,Camacho,0,SLCM,,,,,,50,2015-04-21T01:10:26+00:00
314385,BO-0008,small_airport,"Camiare Airport",-13.9698,-65.6699,493,SA,Bolivia,BO,"El Beni Department",BO-B,B,Camiare,0,,,,,,,50,2015-04-21T01:38:03+00:00
29751,SLCA,small_airport,"Camiri Airport",-20.00656,-63.527827,2614,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,Camiri,0,SLCA,CAM,,,https://en.wikipedia.org/wiki/Camiri_Airport,,50,2024-03-12T20:28:22+00:00
39416,SLAQ,small_airport,"Aiquile Airport",-18.215401,-65.187798,7208,SA,Bolivia,BO,"Cochabamba Department",BO-C,C,Campero,0,SLAQ,,,,https://en.wikipedia.org/wiki/Aiquile_Airport,,50,2024-05-18T23:00:45+00:00
39457,SLRS,small_airport,"Rio Seco Airport",-18.200834274291992,-63.25600051879883,1836,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,"Campo Ingelmeco",0,SLRS,,,,,,50,2008-07-14T12:56:12+00:00
39534,SLRP,small_airport,"Rosapata Airport",-18.641666412353516,-67.55833435058594,12240,SA,Bolivia,BO,"Oruro Department",BO-O,O,Carangas,0,SLRP,,,,,,50,2008-07-15T08:00:29+00:00
39449,SLLS,small_airport,"Lagunillas Airport",-19.600000381469727,-63.650001525878906,2950,SA,Bolivia,BO,"Santa Cruz Department",BO-S,S,Caraparicito,0,SLLS,,,,,,50,2008-07-14T12:56:12+00:00
39420,SLBB,small_airport,"Bulo Bulo Airport",-17.257334,-64.366669,886,SA,Bolivia,BO,"Cochabamba Department",BO-C,C,Carrasco,0,SLBB,,,,https://en.wikipedia.org/wiki/Bulo_Bulo_Airport,,50,2024-05-18T23:00:56+00:00
39538,SLJN,small_airport,"San Juan Estancias Airport",-14.162648,-64.759276,820,SA,Bolivia,BO,"El Beni Department",BO-B,B,Cercado,0,,,,,,SLJN,50,2023-07-29T00:04:24+00:00
